Case Number,Date,Block,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
HW202564,03/22/2013 01:45:00 PM,029XX S STATE ST,THEFT,OVER $500,SIDEWALK,true,false,0133,001,3,35,06,1176763,1885284,2013,02/10/2018 03:50:01 PM,41.840565492,-87.626840187,POINT (-87.626840187 41.840565492)
HW201573,03/21/2013 06:00:00 PM,001XX W 35TH ST,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,true,false,0915,009,11,34,11,1175739,1881773,2013,02/10/2018 03:50:01 PM,41.830954079,-87.630703226,POINT (-87.630703226 41.830954079)
HW201347,03/21/2013 03:15:00 PM,0000X E 35TH ST,THEFT,$500 AND UNDER,CTA TRAIN,false,false,0211,002,3,35,06,1177046,1881845,2013,02/10/2018 03:50:01 PM,41.831122218,-87.62590563,POINT (-87.62590563 41.831122218)
HW199543,03/20/2013 08:00:00 AM,035XX S MICHIGAN AVE,DECEPTIVE PRACTICE,UNLAWFUL USE OF A COMPUTER,OTHER,false,false,0213,002,3,35,11,1177772,1881665,2013,02/10/2018 03:50:01 PM,41.830611847,-87.623247369,POINT (-87.623247369 41.830611847)
HW199150,03/19/2013 08:18:00 PM,029XX S STATE ST,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,true,true,0133,001,3,35,08B,1176763,1885284,2013,02/10/2018 03:50:01 PM,41.840565492,-87.626840187,POINT (-87.626840187 41.840565492)
HW200970,03/19/2013 12:30:00 PM,034XX S MICHIGAN AVE,THEFT,OVER $500,"SCHOOL, PUBLIC, BUILDING",false,false,0211,002,3,35,06,1177757,1882243,2013,02/10/2018 03:50:01 PM,41.832198264,-87.623284875,POINT (-87.623284875 41.832198264)
HW199750,03/19/2013 10:00:00 AM,0000X W 35TH ST,THEFT,FROM BUILDING,"SCHOOL, PUBLIC, BUILDING",false,false,0211,002,3,35,06,1176725,1881799,2013,02/10/2018 03:50:01 PM,41.831003238,-87.627084778,POINT (-87.627084778 41.831003238)
HW198002,03/19/2013 01:11:00 AM,001XX W 35TH ST,BATTERY,SIMPLE,CTA TRAIN,true,false,0915,009,11,34,08B,1175739,1881773,2013,02/10/2018 03:50:01 PM,41.830954079,-87.630703226,POINT (-87.630703226 41.830954079)
HW197778,03/15/2013 01:40:00 PM,034XX S WABASH AVE,BATTERY,SIMPLE,"SCHOOL, PRIVATE, GROUNDS",false,false,0211,002,3,35,08B,1177274,1882187,2013,02/10/2018 03:50:01 PM,41.832055537,-87.625058743,POINT (-87.625058743 41.832055537)
HW193120,03/15/2013 05:30:00 AM,0000X W 35TH ST,THEFT,$500 AND UNDER,STREET,false,false,0211,002,3,35,06,1176626,1881796,2013,02/10/2018 03:50:01 PM,41.830997238,-87.627448103,POINT (-87.627448103 41.830997238)
HW191797,03/13/2013 09:00:00 PM,029XX S DEARBORN ST,THEFT,$500 AND UNDER,STREET,false,false,0133,001,3,35,06,1176459,1885004,2013,02/10/2018 03:50:01 PM,41.839804007,-87.627964177,POINT (-87.627964177 41.839804007)
HW190319,03/13/2013 11:03:00 AM,001XX E 35TH ST,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,true,false,0211,002,3,35,18,1177915,1881826,2013,02/10/2018 03:50:01 PM,41.831050399,-87.622717815,POINT (-87.622717815 41.831050399)
HW189694,03/12/2013 07:30:00 PM,034XX S STATE ST,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,0211,002,3,35,03,1176897,1882307,2013,02/10/2018 03:50:01 PM,41.832393348,-87.626438367,POINT (-87.626438367 41.832393348)
HW192290,03/12/2013 05:00:00 PM,030XX S MICHIGAN AVE,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),false,false,0133,001,2,35,06,1177749,1884891,2013,02/10/2018 03:50:01 PM,41.839464759,-87.623233908,POINT (-87.623233908 41.839464759)
HW186504,03/10/2013 09:45:00 AM,029XX S STATE ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0133,001,3,35,07,1176820,1885303,2013,02/10/2018 03:50:01 PM,41.840616343,-87.626630447,POINT (-87.626630447 41.840616343)
